ciclo_siglas,skill_id,orden_global,etapa,bloque,modulo_codigo,modulo_nombre,nivel_objetivo,obligatoria_roadmap_base,basico_antes_de_empezar,prerrequisito_texto
AF,AF-COM-001,13,1_fundamentos,Actividad comercial,0650,Proceso integral de la actividad comercial,1,sí,no,"Antes de esto conviene saber: Operar con porcentajes, reglas de tres e importes; Organizar archivos y documentación administrativa."
AF,AF-COM-002,14,1_fundamentos,Actividad comercial,0650,Proceso integral de la actividad comercial,1,sí,no,"Antes de esto conviene saber: Gestionar compras, ventas, facturas y cobros."
AF,AF-CLI-001,15,1_fundamentos,Comunicación y atención,0651,Comunicación y atención al cliente,1,sí,no,Antes de esto conviene saber: Redactar correos y comunicaciones profesionales.
AF,AF-CLI-002,16,2_aplicacion,Comunicación y atención,0651,Comunicación y atención al cliente,2,sí,no,"Antes de esto conviene saber: Atender y registrar consultas, quejas y reclamaciones; Organizar archivos y documentación administrativa; Proteger datos, credenciales y documentación."
AF,AF-LAB-001,17,2_aplicacion,Gestión laboral,0652,Gestión de recursos humanos,2,sí,no,"Antes de esto conviene saber: Analizar organización, puestos y selección; Preparar trámites de constitución y documentación oficial."
AF,AF-LAB-002,18,2_aplicacion,Gestión laboral,0652,Gestión de recursos humanos,2,sí,no,"Antes de esto conviene saber: Interpretar contratos, jornada y documentación laboral; Operar con porcentajes, reglas de tres e importes."
AF,AF-FIN-001,19,2_aplicacion,Gestión financiera,0653,Gestión financiera,2,sí,no,"Antes de esto conviene saber: Operar con porcentajes, reglas de tres e importes; Usar Excel para gestión administrativa."
AF,AF-FIN-002,20,2_aplicacion,Gestión financiera,0653,Gestión financiera,2,sí,no,"Antes de esto conviene saber: Aplicar cálculo financiero; Gestionar compras, ventas, facturas y cobros."
AF,AF-CON-001,21,2_aplicacion,Contabilidad y fiscalidad,0654,Contabilidad y fiscalidad,2,sí,no,Antes de esto conviene saber: Registrar el ciclo contable básico.
AF,AF-CON-002,22,2_aplicacion,Contabilidad y fiscalidad,0654,Contabilidad y fiscalidad,2,sí,no,"Antes de esto conviene saber: Completar el ciclo contable; Gestionar compras, ventas, facturas y cobros."
AF,AF-LOG-001,23,2_aplicacion,Logística y compras,0655,Gestión logística y comercial,2,sí,no,"Antes de esto conviene saber: Gestionar compras, ventas, facturas y cobros; Usar Excel para gestión administrativa."
AF,AF-LOG-002,24,2_aplicacion,Logística y compras,0655,Gestión logística y comercial,2,sí,no,"Antes de esto conviene saber: Planificar aprovisionamiento e inventario; Atender y registrar consultas, quejas y reclamaciones."
AF,AF-BI-001,25,2_aplicacion,Datos y reporting,1665,Digitalización aplicada a los sectores productivos,2,sí,no,"Antes de esto conviene saber: Automatizar limpieza y consolidación de datos; Gestionar tesorería, financiación y riesgo."
AF,AF-DIG-001,26,2_aplicacion,Digitalización,1665,Digitalización aplicada a los sectores productivos,2,sí,no,"Antes de esto conviene saber: Automatizar limpieza y consolidación de datos; Proteger datos, credenciales y documentación."
AF,AF-SUS-001,27,2_aplicacion,Sostenibilidad,1708,Sostenibilidad aplicada al sistema productivo,1,sí,no,
AF,AF-ENG-001,28,2_aplicacion,Inglés profesional,0179,Inglés profesional (GS),1,sí,no,Antes de esto conviene saber: Redactar correos y comunicaciones profesionales.
AF,AF-EMP-001,29,3_empleabilidad,Empleabilidad,1709|1710,Itinerario personal para la empleabilidad I y II,2,sí,no,"Antes de esto conviene saber: Usar Excel para gestión administrativa; Atender y registrar consultas, quejas y reclamaciones; Gestionar compras, ventas, facturas y cobros."
AF,AF-SIM-001,30,3_empleabilidad,Simulación empresarial,0656,Simulación empresarial,3,sí,no,"Antes de esto conviene saber: Preparar trámites de constitución y documentación oficial; Calcular y revisar una nómina; Gestionar obligaciones fiscales básicas; Gestionar tesorería, financiación y riesgo; Planificar aprovisionamiento e inventario."
AF,AF-PRJ-001,31,4_proyecto,Proyecto intermodular,0657,Proyecto Intermodular de Administración y Finanzas,3,sí,no,Antes de esto conviene saber: Gestionar una empresa simulada de forma integrada; Crear cuadros de mando administrativos y financieros; Automatizar procesos administrativos con control.
AF,AF-PRJ-002,32,4_proyecto,Proyecto intermodular,0657,Proyecto Intermodular de Administración y Finanzas,3,sí,no,Antes de esto conviene saber: Diseñar una solución administrativa integral; Preparar candidatura administrativa.
